fish_id,species,common_name,waterbody_name,kingdom,phylum,class,order,family,genus,status,feeding_type,temp_max,weight_max,length_max,temp_pref_min,temp_pref_max,temp_range,fecundity_mean,fecundity_min,fecundity_max,trophic_lvl_estimate,trophic_lvl,wb_ph_min,wb_ph_max,wb_salinity_min,wb_salinity_max,wb_do_min,wb_do_max,wb_bod_min,wb_bod_max,wb_turbidity_min,wb_turbidity_max,wb_temp_min,wb_temp_max
F1422,Allomogurnda multicincta,,"Malas Creek, Papua New Guinea",Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Allomogurnda,Established,Invertivore,,,,,,,,,,3.1,,7.5,7.5,0.2,0.2,8.4,8.4,2.0,2.0,2.5,2.5,22.0,26.0
F1423,Allotoca zacapuensis,Zacapu allotoca,"Laguna de Zacapu, Mexico",Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Goodeidae,Allotoca,Established,Omnivore,,,,17,20,3,,,,2.5,,7.0,7.0,0.3,0.3,8.0,8.0,2.4,2.4,3.5,3.5,17.0,20.0
F1423,Allotoca zacapuensis,Zacapu allotoca,"Jesús María Spring, Mexico",Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Goodeidae,Allotoca,Reported,Omnivore,,,,17,20,3,,,,2.5,,7.1,7.1,0.3,0.3,8.2,8.2,2.2,2.2,3.0,3.0,18.0,21.0
F1424,Amphilophus globosus,,"Lake Apoyo, Nicaragua",Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Amphilophus,Established,Omnivore,,,,,,,,,,3.2,,8.4,8.4,0.3,0.3,7.8,7.8,2.5,2.5,3.2,3.2,26.0,29.0
F1425,Amphilophus supercilius,,"Lake Apoyo, Nicaragua",Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Amphilophus,Established,Omnivore,,,,,,,,,,3.2,,8.4,8.4,0.3,0.3,7.8,7.8,2.5,2.5,3.2,3.2,26.0,29.0
F1426,Anabarilius andersoni,Anderson's whitefish,"Xingyun Lake, China",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Anabarilius,Established,Omnivore,,,22.9,,,,,,,3.2,,8.1,8.1,0.4,0.4,6.2,6.2,3.6,3.6,5.8,5.8,18.0,22.0
F1427,Anabarilius qiluensis,Qilu whitefish,"Qilu Lake, China",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Anabarilius,Possibly Extinct,Omnivore,,,13.4,,,,,,,3.2,,8.0,8.0,0.3,0.3,5.9,5.9,4.0,4.0,6.5,6.5,17.0,21.0
F1428,Anabarilius yangzonensis,Yangzong whitefish,"Yangzong Lake, China",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Anabarilius,Established,Omnivore,,,21.7,,,,,,,3.2,,8.2,8.2,0.3,0.3,6.1,6.1,3.7,3.7,6.0,6.0,18.0,23.0
F1429,Atherinella jiloaensis,Jiloa silverside,"Lake Jiloá, Nicaragua",Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Atherinella,Established,Omnivore,,,,,,,,,,3,,8.3,8.3,0.2,0.2,7.5,7.5,2.8,2.8,3.5,3.5,26.0,29.0
F1430,Capoeta pestai,Eğirdir barb,"Lake Beysehir, Turkey",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Capoeta,Established,Omnivore,,,,,,,,,,2.5,,8.0,8.0,0.3,0.3,7.2,7.2,2.6,2.6,4.0,4.0,16.0,21.0
F1430,Capoeta pestai,Eğirdir barb,"Caykoy Stream, Turkey",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Capoeta,Established,Omnivore,,,,,,,,,,2.5,,7.9,7.9,0.3,0.3,7.4,7.4,2.5,2.5,3.8,3.8,15.0,20.0
F1431,Chirostoma aculeatum,Scowling silverside,"Lake Yuriria, Mexico",Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Chirostoma,Established,Omnivore,,,,,,,,,,3.2,,8.1,8.1,0.4,0.4,6.2,6.2,3.6,3.6,5.8,5.8,18.0,22.0
F1432,Chirostoma charari,Least silverside,"Spring in Lake Cuitzeo Basin, Mexico",Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Chirostoma,Possibly Extinct,Omnivore,,,,,,,,,,3.2,,,,,,,,,,,,,
F1433,Chirostoma melanoccus,Blunthead silverside,"Lake Chapala, Mexico",Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Chirostoma,Established,Omnivore,,,,,,,,,,3.2,,8.2,8.2,0.3,0.3,6.1,6.1,3.7,3.7,6.0,6.0,20.0,26.0
